wiederaufnahm der sitzungsperiod	resumpt of the session	0-0 1-1 1-2 2-3	-5.66567727612
ja , herr evan , ich denk , dass ein derart initiativ durchaus angebracht ist .	ye , mr evan , i feel an initi of the type you have just suggest would be entir appropri .	0-0 1-1 2-2 3-3 4-4 5-5 13-6 9-7 11-8 9-9 9-10 10-11 0-12 1-13 3-14 3-15 13-16 13-17 12-18 13-19 15-20	-90.8009350345
wenn das haus damit einverstand ist , werd ich dem vorschlag von herrn evan folg .	if the hous agre , i shall do as mr evan ha suggest .	0-0 1-1 2-2 4-3 6-4 8-5 7-6 8-7 11-8 12-9 13-10 9-11 10-12 15-13	-55.8458445276
frau prasidentin , zur geschaftsordn .	madam presid , on a point of order .	1-0 1-1 2-2 3-3 3-4 4-5 3-6 4-7 5-8	-25.729288775
konnt sie mir ein auskunft zu artikel 143 im zusammenhang mit der unzulass geb ?	i would like your advic about rule 143 concern inadmiss .	2-0 2-1 7-2 7-3 7-4 4-5 6-6 7-7 7-8 7-9 8-10	-54.3612124001
mein frag betrifft ein angeleg , die am donnerstag zur sprach komm wird und auf die ich dann erneut verweis werd .	my question relat to someth that will come up on thursday and which i will then rais again .	0-0 1-1 2-2 5-3 8-4 5-5 12-6 11-7 10-8 7-9 8-10 13-11 15-12 16-13 17-14 17-15 10-16 18-17 21-18	-82.648508093
das parlament wird sich am donnerstag mit dem cunha-bericht uber mehrjahr ausrichtungsprogramm befass , der in absatz 6 vorschlagt , dass land , die ihr soll zur flottenverkleiner nicht erfull , jahrlich mit ein art quotenstraf belegt werd soll .	the cunha report on multiannu guidanc programm come befor parliament on thursday and contain a propos in paragraph 6 that a form of quota penalti should be introduc for countri which fail to meet their fleet reduct target annual .	7-0 8-1 8-2 9-3 10-4 11-5 11-6 8-7 8-8 1-9 4-10 5-11 6-12 8-13 33-14 18-15 15-16 16-17 17-18 20-19 33-20 34-21 34-22 8-23 8-24 38-25 37-26 8-27 26-28 21-29 22-30 8-31 26-32 29-33 24-34 8-35 8-36 8-37 31-38 39-39	-186.497956743
und zwar soll derart straf trotz des grundsatz der relativ stabilitat verhangt werd .	it say that thi should be done despit the principl of rel stabil .	1-0 11-1 13-2 3-3 2-4 2-5 3-6 5-7 6-8 7-9 8-10 9-11 10-12 13-13	-52.3157204771
ich mein , dass der grundsatz der relativ stabilitat ein elementar rechtsgrundsatz der gemeinsam fischereipolit darstellt und ein vorschlag , dies zu unterlauf , rechtlich unzulass war .	i believ that the principl of rel stabil is a fundament legal principl of the common fisheri polici and a propos to subvert it would be legal inadmiss .	0-0 1-1 3-2 4-3 5-4 6-5 7-6 8-7 9-8 9-9 10-10 11-11 11-12 12-13 12-14 13-15 14-16 14-17 16-18 17-19 18-20 19-21 11-22 26-23 26-24 26-25 24-26 25-27 27-28	-84.7699707217
ich mocht wiss , ob es moglich ist , ein einwand geg ein dokument zu erheb , bei dem es sich ledig um ein bericht und kein legislativvorschlag handelt , und ob ich befugt bin , dies am donnerstag zu tun .	i want to know whether one can rais an object of that kind to what is mere a report , not a legisl propos , and whether that is someth i can compet do on thursday .	0-0 1-1 1-2 2-3 4-4 9-5 6-6 33-7 9-8 10-9 36-10 36-11 33-12 39-13 40-14 20-15 21-16 23-17 24-18 25-19 26-20 23-21 27-22 27-23 29-24 30-25 31-26 29-27 28-28 33-29 32-30 32-31 33-32 40-33 37-34 38-35 41-36	-166.780573985
genau dann konn sie , wenn sie woll , dies frag ansprech , d. h. am donnerstag zu beginn der aussprach uber den bericht .	that is precis the time when you may , if you wish , rais thi question , i.e. on thursday prior to the start of the present of the report .	12-0 13-1 0-2 19-3 18-4 5-5 6-6 2-7 4-8 5-9 6-10 7-11 8-12 11-13 9-14 10-15 12-16 14-17 15-18 16-19 14-20 17-21 19-22 18-23 19-24 19-25 13-26 19-27 22-28 23-29 24-30	-117.87432132
die erst diesjahr tagung des europa parlament fallt leid damit zusamm , dass in den vereinigt staat , in texas , fur donnerstag dies woch die hinricht ein zum tod verurteilt 34jahrig jung mann nam hick festgelegt word ist .	madam presid , coincid with thi year ' s first part-sess of the european parliament , a date ha been set , unfortun for next thursday , in texa in america , for the execut of a young 34 year-old man who ha been sentenc to death . we shall call him mr hick .	31-0 31-1 11-2 7-3 9-4 2-5 2-6 31-7 31-8 1-9 3-10 4-11 4-12 5-13 6-14 11-15 27-16 31-17 37-18 37-19 36-20 11-21 8-22 21-23 22-24 22-25 17-26 18-27 19-28 18-29 31-30 20-31 21-32 25-33 26-34 27-35 27-36 32-37 31-38 31-39 33-40 33-41 37-42 37-43 30-44 28-45 29-46 39-47 39-48 31-49 31-50 31-51 19-52 31-53 39-54	-256.295677023
auf wunsch ein franzos mitglied , herrn zimeray , wurd bereit ein petition eingereicht , die von viel , auch von mir selb , unterzeichnet word ist .	at the request of a french member , mr zimeray , a petit ha alreadi been present , which mani peopl sign , includ myself .	0-0 0-1 1-2 2-3 2-4 3-5 4-6 5-7 6-8 7-9 8-10 11-11 12-12 9-13 10-14 10-15 13-16 14-17 14-18 17-19 17-20 24-21 18-22 19-23 22-24 27-25	-94.433368142
gemass der vom europa parlament und von der gesamt europa union nunmehr standig vertret lini mocht ich sie jedoch bitt , den ganz einfluss ihr amt und der institution , die sie vertret , bei dem prasidentschaftskandidat und gouverneur von texas , georg w. bush , der zur aussetz der vollstreck des todesurteil und zur begnad des verurteilt befugt ist , geltend zu mach .	howev , i would ask you , in accord with the line which is now constantli follow by the european parliament and by the whole of the european commun , to make represent , use the weight of your prestigi offic and the institut you repres , to the presid and to the governor of texa , mr bush , who ha the power to order a stay of execut and to repriev the condemn person .	18-0 18-1 16-2 19-3 19-4 31-5 33-6 34-7 0-8 0-9 1-10 14-11 60-12 59-13 11-14 12-15 43-16 2-17 2-18 3-19 4-20 5-21 6-22 7-23 8-24 6-25 7-26 9-27 43-28 60-29 62-30 63-31 43-32 41-33 43-34 46-35 43-36 46-37 24-38 43-39 25-40 26-41 27-42 28-43 31-44 32-45 33-46 34-47 35-48 36-49 37-50 34-51 35-52 38-53 39-54 40-55 41-56 40-57 44-58 45-59 58-60 59-61 56-62 58-63 62-64 43-65 41-66 43-67 49-68 50-69 53-70 54-71 43-72 56-73 57-74 0-75 64-76	-327.039944438
all dies entspricht den grundsatz , die wir stet verteidigt hab .	thi is all in accord with the principl that we have alway upheld .	1-0 2-1 0-2 1-3 2-4 2-5 3-6 4-7 5-8 7-9 10-10 8-11 9-12 11-13	-44.9817704048
viel dank , herr segni , das will ich gern tun .	thank you , mr segni , i shall do so gladli .	1-0 1-1 2-2 3-3 4-4 5-5 8-6 9-7 10-8 4-9 4-10 11-11	-33.0464817628
das ist ganz im sinn der position , die wir als parlament imm vertret hab .	inde , it is quit in keep with the posit thi hous ha alway adopt .	4-0 7-1 0-2 1-3 2-4 3-5 12-6 5-7 5-8 6-9 0-10 11-11 12-12 12-13 6-14 15-15	-79.6006225045
frau prasidentin ! ich mocht sie auf ein fall aufmerksam mach , mit dem sich dies parlament imm wied befasst hat .	madam presid , i should like to draw your attent to a case in which thi parliament ha consist shown an interest .	1-0 1-1 2-2 3-3 4-4 4-5 6-6 9-7 9-8 9-9 6-10 7-11 8-12 12-13 13-14 15-15 16-16 20-17 19-18 19-19 7-20 19-21 21-22	-89.5141087208
das ist der fall von alexand nikitin .	it is the case of alexand nikitin .	0-0 1-1 2-2 3-3 4-4 5-5 6-6 7-7	-11.633101871
wir freu uns hier all , dass das gericht ihn freigesproch und deutlich gemacht hat , dass auch in russland der zugang zu umweltinformation konstitutionell recht ist .	all of us here are pleas that the court have acquit him and made it clear that in russia , too , access to environment inform is a constitut right .	4-0 4-1 2-2 3-3 0-4 1-5 6-6 7-7 8-8 9-9 10-10 10-11 11-12 13-13 14-14 12-15 16-16 18-17 19-18 15-19 17-20 15-21 21-22 22-23 23-24 23-25 26-26 26-27 24-28 25-29 27-30	-100.460173367
nun ist es aber so , dass er wied angeklagt werd soll , weil der staatsanwalt in beruf geht .	now , howev , he is to go befor the court onc more becaus the public prosecutor is appeal .	0-0 1-1 3-2 5-3 7-4 11-5 11-6 11-7 15-8 14-9 9-10 8-11 17-12 13-13 14-14 15-15 15-16 18-17 9-18 19-19	-92.585583756
wir wiss und wir hab es in wirklich sehr viel entschliess festgestellt - gerad wahrend der letzt plenartag des vergang jahres- , dass dies nicht nur ein jurist fall ist und dass es falsch ist , alexand nikitin kriminalitat und verrat vorzuwerf , weil wir als betroff von sein ergebnis ein nutz hab .	we know , and we have state as much in veri mani resolut inde , includ specif dure the last plenari part-sess of last year , that thi is not sole a legal case and that it is wrong for alexand nikitin to be accus of crimin activ and treason becaus of our involv as the beneficiari of hi find .	0-0 1-1 2-2 2-3 3-4 4-5 11-6 12-7 9-8 6-9 8-10 9-11 10-12 20-13 21-14 20-15 20-16 14-17 15-18 16-19 17-20 17-21 18-22 19-23 20-24 21-25 22-26 23-27 23-28 24-29 20-30 26-31 27-32 28-33 30-34 31-35 32-36 32-37 33-38 35-39 36-40 37-41 21-42 22-43 20-44 18-45 38-46 20-47 21-48 20-49 43-50 47-51 44-52 46-53 45-54 18-55 20-56 47-57 48-58 20-59 53-60	-246.012202655
dies ergebnis sind die grundlag fur die europa programm zum schutz der barentse , und desweg bitt ich sie , ein briefentwurf , der ihn die wichtig fakt schildert , zu pruf und im sinn der beschluss des parlament in russland dies position deutlich zu mach .	these find form the basi of the european programm to protect the barent sea , and that is whi i would ask you to examin a draft letter set out the most import fact and to make parliament 's posit , as express in the resolut which it ha adopt , clear as far as russia is concern .	0-0 12-1 12-2 3-3 4-4 5-5 6-6 7-7 8-8 9-9 10-10 11-11 12-12 12-13 13-14 14-15 15-16 15-17 15-18 17-19 16-20 16-21 18-22 30-23 31-24 20-25 12-26 12-27 12-28 12-29 25-30 26-31 26-32 27-33 32-34 44-35 45-36 38-37 42-38 42-39 13-40 13-41 12-42 13-43 11-44 12-45 13-46 18-47 11-48 12-49 13-50 43-51 9-52 12-53 13-54 40-55 15-56 12-57 46-58	-259.987234669
frau schroedt , ich bin gern bereit , die damit zusammenhang fakt zu pruf , wenn mir ihr brief vorliegt .	ye , mr schroedter , i shall be pleas to look into the fact of thi case when i have receiv your letter .	1-0 2-1 0-2 1-3 2-4 3-5 13-6 14-7 19-8 12-9 13-10 13-11 8-12 11-13 8-14 9-15 19-16 15-17 16-18 19-19 19-20 17-21 18-22 20-23	-102.475220462
frau prasidentin , zunach best dank dafur , dass sie wort gehalt hab und nun in der erst sitzungsperiod des neu jahr das angebot an fernsehprogramm in uns buros tatsach enorm erweitert ist .	madam presid , i would firstli like to compliment you on the fact that you have kept your word and that , dure thi first part-sess of the new year , the number of televis channel in our offic ha inde increas consider .	1-0 1-1 2-2 3-3 3-4 3-5 5-6 24-7 25-8 25-9 26-10 22-11 29-12 8-13 9-14 12-15 11-16 9-17 10-18 13-19 8-20 7-21 21-22 22-23 17-24 18-25 19-26 19-27 20-28 21-29 22-30 22-31 23-32 24-33 25-34 25-35 26-36 27-37 28-38 29-39 29-40 31-41 25-42 33-43	-184.22309642
dennoch , frau prasidentin , wurd mein wunsch nicht entsproch .	but , madam presid , my person request ha not been met .	0-0 1-1 3-2 3-3 4-4 6-5 9-6 9-7 5-8 8-9 5-10 9-11 10-12	-48.4318582098
zwar konn wir jetzt zwei finnisch und ein portugies , nach wie vor aber kein niederland send empfang . ich hatt sie aber um ein niederland programm gebet , denn auch wir niederland mocht die nachricht verfolg , wenn wir jed monat hierh in die verbann geschickt werd .	although there are now two finnish channel and one portugues one , there is still no dutch channel , which is what i had request becaus dutch peopl here like to be abl to follow the news too when we are sent to thi place of exil everi month .	0-0 0-1 2-2 3-3 4-4 5-5 16-6 6-7 7-8 8-9 7-10 9-11 17-12 18-13 12-14 14-15 15-16 16-17 9-18 9-19 10-20 11-21 19-22 20-23 27-24 29-25 32-26 32-27 42-28 33-29 34-30 1-31 1-32 37-33 36-34 34-35 35-36 30-37 38-38 39-39 39-40 46-41 44-42 44-43 45-44 44-45 45-46 40-47 41-48 48-49	-230.7072685
deshalb mocht ich sie nochmal ersuch , dafur sorg zu trag , dass auch ein niederland send eingespeist wird .	i would therefor onc more ask you to ensur that we get a dutch channel as well .	2-0 1-1 0-2 4-3 4-4 5-5 3-6 7-7 8-8 12-9 12-10 17-11 14-12 15-13 16-14 13-15 17-16 19-17	-73.3045494432
frau plooij-van gorsel , ich kann ihn mitteil , dass dies punkt am mittwoch auf der tagesordn der quastor steht .	mr plooij-van gorsel , i can tell you that thi matter is on the agenda for the quaestor ' meet on wednesday .	0-0 1-1 1-2 3-3 4-4 5-5 6-6 6-7 9-8 10-9 11-10 19-11 14-12 15-13 16-14 17-15 17-16 18-17 1-18 1-19 12-20 13-21 20-22	-77.6417953211
ich hoff , dass dort in ihr sinn entschied wird .	it will , i hope , be examin in a posit light .	6-0 1-1 2-2 0-3 1-4 2-5 3-6 8-7 5-8 2-9 7-10 8-11 10-12	-57.1226464108
frau prasidentin , konn sie mir sag , warum sich dies parlament nicht an die arbeitsschutzregel halt , die es selb verabschiedet hat ?	madam presid , can you tell me whi thi parliament doe not adher to the health and safeti legisl that it actual pass ?	1-0 1-1 2-2 3-3 4-4 6-5 5-6 8-7 10-8 11-9 12-10 12-11 15-12 13-13 14-14 15-15 14-16 15-17 15-18 16-19 19-20 15-21 15-22 23-23	-82.5245744415
weshalb wurd die luftqualitat in dies gebaud seit uns wahl nicht ein einzig mal uberpruft ?	whi ha no air qualiti test been done on thi particular build sinc we were elect ?	0-0 1-1 10-2 3-3 3-4 3-5 1-6 3-7 4-8 5-9 3-10 6-11 7-12 8-13 9-14 9-15 15-16	-71.6512255484
weshalb ist der arbeitsschutzausschuss seit 1998 nicht ein einzig mal zusammengetret ?	whi ha there been no health and safeti committe meet sinc 1998 ?	0-0 1-1 3-2 4-3 3-4 3-5 2-6 3-7 3-8 3-9 4-10 5-11 11-12	-48.6312744086
warum hat wed im brussel noch im strassburg parlamentsgebaud ein brandschutzub stattgefund ?	whi ha there been no fire drill , either in the brussel parliament build or the strasbourg parliament build ?	0-0 1-1 10-2 11-3 10-4 10-5 10-6 3-7 2-8 3-9 3-10 4-11 8-12 8-13 5-14 6-15 7-16 8-17 8-18 12-19	-66.2207777079
warum find kein brandschutzbelehr statt ?	whi are there no fire instruct ?	0-0 3-1 3-2 2-3 3-4 3-5 5-6	-19.5817331367
warum wurd nach mein unfall nicht unternomm , um die trepp sich zu mach ?	whi have the staircas not been improv sinc my accid ?	0-0 1-1 9-2 10-3 5-4 1-5 10-6 10-7 3-8 4-9 14-10	-39.6132789434
warum wird in den nichtraucherzon das rauchverbot nicht durchgesetzt ?	whi are no-smok area not enforc ?	0-0 4-1 4-2 4-3 7-4 8-5 9-6	-17.8046771729
es ist ein schand , dass wir regeln verabschied , an die wir uns dann selb nicht halt .	it seem absolut disgrac that we pass legisl and do not adher to it ourselv .	0-0 3-1 3-2 3-3 5-4 6-5 8-6 8-7 9-8 16-9 16-10 17-11 18-12 17-13 15-14 18-15	-71.1287483322
frau lynn , sie hab vollig recht , und ich werd pruf , ob all dies wirklich so ist .	mr lynn , you are quit right and i shall check whether thi ha actual not been done .	0-0 1-1 2-2 3-3 3-4 5-5 6-6 8-7 9-8 10-9 11-10 13-11 15-12 1-13 1-14 2-15 1-16 1-17 19-18	-71.7473226616
ich werd die frag auch den quastor unterbreit . ich bin mir sich , dass dies gross wert darauf leg , dass wir die rechtsvorschrift , die wir verabschied , auch selb einhalt .	i shall also refer the matter to the colleg of quaestor , and i am certain that they will be keen to ensur that we compli with the regul we ourselv vote on .	0-0 1-1 4-2 6-3 2-4 3-5 5-6 5-7 6-8 5-9 6-10 13-11 13-12 9-13 10-14 10-15 14-16 6-17 1-18 1-19 6-20 20-21 21-22 21-23 22-24 32-25 32-26 23-27 24-28 27-29 31-30 28-31 29-32 33-33	-160.556473326
frau prasidentin ! frau díez gonzález und ich hatt einig anfrag zu bestimmt , in ein spanisch zeitung wiedergegeb stellungnahm der vizeprasidentin , frau de palacio , gestellt .	madam presid , mr díez gonzález and i had tabl question on certain opinion of the vice-presid , mr de palacio , which appear in a spanish newspap .	1-0 1-1 2-2 3-3 4-4 5-5 6-6 7-7 8-8 4-9 10-10 11-11 12-12 19-13 20-14 20-15 21-16 22-17 23-18 24-19 25-20 26-21 26-22 18-23 14-24 15-25 16-26 17-27 28-28	-73.8300036694
die zustand dien hab sie nicht in die tagesordn aufgenomm , da sie der meinung war , sie seien schon in ein vorangegang sitzung beantwortet word .	the compet servic have not includ them in the agenda on the ground that they had been answer in a previou part-sess .	0-0 1-1 2-2 3-3 5-4 9-5 4-6 6-7 7-8 8-9 6-10 7-11 22-12 16-13 17-14 24-15 25-16 24-17 20-18 21-19 22-20 23-21 26-22	-79.8223877364
ich bitt , dies entscheid zu uberdenk , weil das nicht der fall ist .	i would ask that they reconsid , sinc thi is not the case .	0-0 1-1 1-2 2-3 6-4 6-5 7-6 8-7 9-8 9-9 10-10 11-11 12-12 14-13	-39.1508635479
die fruh beantwortet anfrag bezog sich auf das auftret von frau de palacio in ein bestimmt angeleg , nicht auf die am 18. novemb des vergang jahr in der tageszeit abc erschien erklar .	the question answer previous refer to mr de palacio ' s intervent , on anoth occas , and not to these comment which appear in the abc newspap on 18 novemb .	0-0 3-1 2-2 1-3 4-4 6-5 10-6 11-7 12-8 31-9 30-10 30-11 17-12 19-13 30-14 31-15 17-16 17-17 18-18 19-19 30-20 30-21 17-22 30-23 27-24 28-25 30-26 29-27 21-28 22-29 23-30 33-31	-133.241760831
lieb kolleg , wir werd das pruf .	mr berengu fuster , we shall check all thi .	1-0 6-1 6-2 2-3 3-4 4-5 6-6 5-7 5-8 7-9	-52.3879398013
ich muss ihn aber sag , dass ich die lag im moment fur etwas verworr halt .	i admit that , at present , the matter seem to be somewhat confus .	7-0 14-1 15-2 10-3 11-4 11-5 10-6 10-7 14-8 15-9 16-10 15-11 13-12 14-13 16-14	-67.3468081127
wir werd das aber sehr genau pruf , damit all sein richtig hat .	we shall therefor look into it properli to ensur that everyth is as it should be .	0-0 1-1 8-2 6-3 6-4 10-5 11-6 7-7 8-8 8-9 9-10 5-11 7-12 10-13 10-14 10-15 13-16	-80.8805161052
frau prasidentin , ich wusst gern , ob das parlament in dies woch ein deutlich signal uns unzufried bezug der heutig entscheid , mit der ein verlanger des waffenembargos geg indonesi abgelehnt wird , aussend wird , zumal sich die gross mehrheit in dies parlament in der vergang fur das waffenembargo geg indonesi ausgesproch hat .	madam presid , i should like to know if there will be a clear messag go out from parliament thi week about our discont over today 's decis refus to renew the arm embargo on indonesia , consid that the vast major in thi parliament have endors the arm embargo in indonesia in the past ?	1-0 1-1 2-2 3-3 5-4 5-5 6-6 4-7 7-8 28-9 32-10 32-11 13-12 14-13 15-14 4-15 15-16 17-17 9-18 11-19 12-20 18-21 16-22 17-23 47-24 20-25 20-26 21-27 31-28 33-29 26-30 27-31 28-32 28-33 50-34 52-35 6-36 7-37 8-38 39-39 41-40 41-41 42-42 43-43 44-44 45-45 50-46 49-47 50-48 50-49 45-50 52-51 45-52 46-53 47-54 28-55	-250.758412448
die heutig entscheid geg ein verlanger des embargos birgt angesicht der dortig lag ein sehr gross gefahr .	today 's decis not to renew the embargo is extrem danger consid the situat there .	1-0 1-1 2-2 11-3 10-4 5-5 6-6 7-7 13-8 14-9 16-10 7-11 10-12 12-13 11-14 17-15	-68.3361248804
das parlament sollt , da dies dem wunsch der gross mehrheit entspricht , ein entsprech botschaft send .	so parliament should send a messag , sinc that is the wish of the vast major .	0-0 1-1 2-2 16-3 13-4 15-5 3-6 4-7 5-8 5-9 6-10 7-11 8-12 8-13 10-14 10-15 17-16	-61.4979889017
die ablehn ein verlanger des embargos seit der eu-mitgliedstaat ist unverantwort .	it is irrespons of eu member state to refus to renew the embargo .	9-0 9-1 10-2 7-3 8-4 8-5 8-6 0-7 1-8 0-9 3-10 4-11 5-12 11-13	-49.2374103811
wie bereit festgestellt wurd , ist die lag in indonesi ausserst instabil .	as peopl have said , the situat there is extrem volatil .	0-0 11-1 1-2 2-3 4-4 6-5 7-6 2-7 5-8 10-9 11-10 12-11	-47.7259083071
es besteht sogar die gefahr ein militarputsch .	there is , in fact , a risk of a militari coup in the futur .	0-0 1-1 3-2 3-3 6-4 7-5 5-6 4-7 5-8 5-9 6-10 6-11 3-12 3-13 6-14 7-15	-60.9325618214
wir wiss nicht , was passiert .	we do not know what is happen .	0-0 2-1 2-2 1-3 4-4 4-5 5-6 6-7	-19.2550726463
weshalb also sollt waffenherstell in der eu auf kost unschuld mensch profit einstreich ?	so whi should eu arm produc profit at the expens of innoc peopl ?	1-0 0-1 2-2 6-3 3-4 3-5 11-6 3-7 5-8 3-9 5-10 9-11 10-12 13-13	-51.9665474191
dies punkt ist bish nicht fur die dringlichkeitsdebatt am donnerstag vorgeseh .	in ani event , thi question is not present includ among the request for topic and urgent debat on thursday .	6-0 7-1 7-2 6-3 0-4 7-5 2-6 4-7 7-8 7-9 7-10 6-11 7-12 5-13 7-14 7-15 7-16 7-17 8-18 9-19 11-20	-93.7665369841
arbeitsplan	agenda	0-0	-2.1202635362
nach der tagesordn folgt die prufung des endgult entwurf der tagesordn , wie er nach artikel 110 der geschaftsordn am donnerstag , dem 13. januar von der konferenz der prasident festgelegt wurd .	the next item is the verif of the final version of the draft agenda as drawn up by the confer of presid at it meet of 13 januari pursuant to rule 110 of the rule of procedur .	1-0 3-1 3-2 3-3 4-4 5-5 6-6 6-7 7-8 16-9 17-10 17-11 8-12 10-13 12-14 16-15 16-16 25-17 26-18 27-19 28-20 29-21 19-22 13-23 23-24 25-25 23-26 24-27 16-28 14-29 15-30 16-31 17-32 17-33 18-34 17-35 18-36 32-37	-138.572509524
zu montag und dienstag lieg kein ander vor .	no amend have been propos relat to monday and tuesday .	5-0 6-1 4-2 4-3 6-4 3-5 0-6 1-7 2-8 3-9 8-10	-38.3955639936
zum mittwoch :	relat to wednesday :	1-0 0-1 1-2 2-3	-8.50169028303
die sozialdemokrat fraktion beantragt , ein erklar der kommission uber ihr strateg ziel fur die nach funf jahr sowi uber die verwaltungsreform der kommission in die tagesordn aufzunehm .	the group of the parti of european socialist request that a commiss statement be includ on it strateg object for the next five year and on the administr reform of the commiss .	0-0 2-1 0-2 0-3 1-4 0-5 1-6 1-7 3-8 4-9 5-10 8-11 6-12 15-13 27-14 9-15 10-16 11-17 12-18 13-19 14-20 15-21 16-22 17-23 18-24 19-25 20-26 21-27 21-28 22-29 22-30 23-31 28-32	-98.5328104398
ich bitt den antragstell , herrn barón crespo , sein antrag zu begrund , fall er dies wunscht .	i would like mr barón crespo , who made the request , to speak to propos it . that is , if he so wish , of cours .	0-0 1-1 1-2 5-3 6-4 7-5 8-6 8-7 10-8 2-9 3-10 4-11 2-12 3-13 4-14 10-15 15-16 18-17 16-18 16-19 13-20 14-21 15-22 17-23 17-24 13-25 16-26 17-27 18-28	-114.50829759
